District,SCPU: installed power range (kW),SCPU: Nº installations,SCPU: total power installed (kW),QDateKey
Aveiro,"]0,4]",7541,10635.34,2022-04-01
Aveiro,"]20.7,30]",107,2743.7200000000003,2022-04-01
Aveiro,"]30,1000]",338,61129.42,2022-04-01
Aveiro,"]4,20.7]",335,3297.51,2022-04-01
Aveiro,"]0,4]",8649,12456.99,2022-07-01
Aveiro,"]20.7,30]",121,3115.63,2022-07-01
Aveiro,"]30,1000]",373,66905.46,2022-07-01
Aveiro,"]4,20.7]",368,3650.2,2022-07-01
Aveiro,"]0,4]",9548,14077.22,2022-10-01
Aveiro,"]20.7,30]",144,3729.9300000000003,2022-10-01
Aveiro,"]30,1000]",437,85273.52,2022-10-01
Aveiro,"]4,20.7]",424,4293.9400000000005,2022-10-01
Aveiro,"]0,4]",10275,15697.44,2023-01-01
Aveiro,"]20.7,30]",155,4061.24,2023-01-01
Aveiro,"]30,1000]",440,85710.69,2023-01-01
Aveiro,"]4,20.7]",518,5204.33,2023-01-01
Aveiro,"]0,4]",11419,17664.49,2023-04-01
Aveiro,"]20.7,30]",175,4608.5599999999995,2023-04-01
Aveiro,"]30,1000]",507,97982.73,2023-04-01
Aveiro,"]4,20.7]",594,5909.08,2023-04-01
Aveiro,"]0,4]",12939,20847.16,2023-07-01
Aveiro,"]20.7,30]",212,5608.73,2023-07-01
Aveiro,"]30,1000]",565,110419.18,2023-07-01
Aveiro,"]4,20.7]",744,7526.97,2023-07-01
Aveiro,"]0,4]",14366,24058.3,2023-10-01
Aveiro,"]20.7,30]",234,6229.79,2023-10-01
Aveiro,"]30,1000]",623,118465.74,2023-10-01
Aveiro,"]4,20.7]",867,8809.76,2023-10-01
Aveiro,"]0,4]",15151,25594.47,2024-01-01
Aveiro,"]20.7,30]",265,7103.22,2024-01-01
Aveiro,"]30,1000]",677,128510.61,2024-01-01
Aveiro,"]4,20.7]",972,10023.33,2024-01-01
Aveiro,>1000,1,3700.0,2024-04-01
Aveiro,"]0,4]",15989,27270.84,2024-04-01
Aveiro,"]20.7,30]",284,7639.7,2024-04-01
Aveiro,"]30,1000]",752,144664.1,2024-04-01
Aveiro,"]4,20.7]",1082,11281.93,2024-04-01
Aveiro,>1000,1,3700.0,2024-07-01
Aveiro,"]0,4]",16605,28637.43,2024-07-01
Aveiro,"]20.7,30]",300,8073.16,2024-07-01
Aveiro,"]30,1000]",791,154811.11,2024-07-01
Aveiro,"]4,20.7]",1189,12526.42,2024-07-01
Aveiro,>1000,1,3700.0,2024-10-01
Aveiro,"]0,4]",17238,30069.03,2024-10-01
Aveiro,"]20.7,30]",310,8373.46,2024-10-01
Aveiro,"]30,1000]",847,170253.12,2024-10-01
Aveiro,"]4,20.7]",1276,13509.4,2024-10-01
Beja,"]0,4]",1452,1649.65,2022-04-01
Beja,"]20.7,30]",26,673.11,2022-04-01
Beja,"]30,1000]",64,8294.75,2022-04-01
Beja,"]4,20.7]",92,953.2,2022-04-01
Beja,"]0,4]",1599,1879.2,2022-07-01
Beja,"]20.7,30]",29,754.84,2022-07-01
Beja,"]30,1000]",66,8669.26,2022-07-01
Beja,"]4,20.7]",103,1069.32,2022-07-01
Beja,"]0,4]",1761,2137.17,2022-10-01
Beja,"]20.7,30]",33,856.07,2022-10-01
Beja,"]30,1000]",80,9463.61,2022-10-01
Beja,"]4,20.7]",123,1328.33,2022-10-01
Beja,"]0,4]",1829,2312.85,2023-01-01
Beja,"]20.7,30]",54,1476.29,2023-01-01
Beja,"]30,1000]",81,9573.31,2023-01-01
Beja,"]4,20.7]",144,1603.3200000000002,2023-01-01
Beja,"]0,4]",2010,2589.88,2023-04-01
Beja,"]20.7,30]",79,2229.37,2023-04-01
Beja,"]30,1000]",97,11833.87,2023-04-01
Beja,"]4,20.7]",171,1912.98,2023-04-01
Beja,"]0,4]",2277,3017.88,2023-07-01
Beja,"]20.7,30]",92,2615.17,2023-07-01
Beja,"]30,1000]",114,13284.4,2023-07-01
Beja,"]4,20.7]",205,2296.78,2023-07-01
Beja,>1000,1,19600.0,2023-10-01
Beja,"]0,4]",2464,3365.85,2023-10-01
Beja,"]20.7,30]",109,3114.17,2023-10-01
Beja,"]30,1000]",131,14569.2,2023-10-01
Beja,"]4,20.7]",244,2717.3,2023-10-01
Beja,>1000,1,19600.0,2024-01-01
Beja,"]0,4]",2609,3633.39,2024-01-01
Beja,"]20.7,30]",131,3764.0699999999997,2024-01-01
Beja,"]30,1000]",141,15627.47,2024-01-01
Beja,"]4,20.7]",286,3223.24,2024-01-01
Beja,>1000,1,19600.0,2024-04-01
Beja,"]0,4]",2756,3912.8,2024-04-01
Beja,"]20.7,30]",154,4441.07,2024-04-01
Beja,"]30,1000]",158,18184.43,2024-04-01
Beja,"]4,20.7]",335,3801.34,2024-04-01
Beja,>1000,1,19600.0,2024-07-01
Beja,"]0,4]",2889,4179.2,2024-07-01
Beja,"]20.7,30]",168,4853.07,2024-07-01
Beja,"]30,1000]",172,20701.19,2024-07-01
Beja,"]4,20.7]",366,4160.9,2024-07-01
Beja,>1000,1,19600.0,2024-10-01
Beja,"]0,4]",3002,4393.45,2024-10-01
Beja,"]20.7,30]",178,5133.07,2024-10-01
Beja,"]30,1000]",180,21942.190000000002,2024-10-01
Beja,"]4,20.7]",419,4796.9,2024-10-01
Braga,ND,1,0.0,2022-04-01
Braga,"]0,4]",12699,14836.06,2022-04-01
Braga,"]20.7,30]",111,2859.42,2022-04-01
Braga,"]30,1000]",331,53620.6,2022-04-01
Braga,"]4,20.7]",463,4631.51,2022-04-01
Braga,ND,1,0.0,2022-07-01
Braga,"]0,4]",14347,17200.19,2022-07-01
Braga,"]20.7,30]",134,3460.59,2022-07-01
Braga,"]30,1000]",357,58987.8,2022-07-01
Braga,"]4,20.7]",531,5406.64,2022-07-01
Braga,"]0,4]",15660,19351.87,2022-10-01
Braga,"]20.7,30]",163,4209.65,2022-10-01
Braga,"]30,1000]",402,68717.79,2022-10-01
Braga,"]4,20.7]",616,6365.98,2022-10-01
Braga,"]0,4]",16419,21500.28,2023-01-01
Braga,"]20.7,30]",182,4762.41,2023-01-01
Braga,"]30,1000]",409,70375.65,2023-01-01
Braga,"]4,20.7]",748,7732.63,2023-01-01
Braga,"]0,4]",18391,24451.76,2023-04-01
Braga,"]20.7,30]",220,5823.52,2023-04-01
Braga,"]30,1000]",458,80266.32,2023-04-01
Braga,"]4,20.7]",914,9677.3,2023-04-01
Braga,"]0,4]",20253,28179.02,2023-07-01
Braga,"]20.7,30]",269,7167.37,2023-07-01
Braga,"]30,1000]",491,89892.71,2023-07-01
Braga,"]4,20.7]",1162,12612.38,2023-07-01
Braga,"]0,4]",22055,31925.38,2023-10-01
Braga,"]20.7,30]",295,7866.52,2023-10-01
Braga,"]30,1000]",561,100181.41,2023-10-01
Braga,"]4,20.7]",1375,14823.74,2023-10-01
Braga,"]0,4]",22952,33712.31,2024-01-01
Braga,"]20.7,30]",334,8919.46,2024-01-01
Braga,"]30,1000]",605,109706.31,2024-01-01
Braga,"]4,20.7]",1530,16617.99,2024-01-01
Braga,"]0,4]",23803,35545.14,2024-04-01
Braga,"]20.7,30]",350,9394.34,2024-04-01
Braga,"]30,1000]",681,120284.71,2024-04-01
Braga,"]4,20.7]",1708,18816.54,2024-04-01
Braga,>1000,1,1870.0,2024-07-01
Braga,"]0,4]",24669,37401.24,2024-07-01
Braga,"]20.7,30]",378,10166.34,2024-07-01
Braga,"]30,1000]",726,128117.35,2024-07-01
Braga,"]4,20.7]",1865,20533.17,2024-07-01
Braga,>1000,1,1870.0,2024-10-01
Braga,"]0,4]",25532,39290.43,2024-10-01
Braga,"]20.7,30]",396,10674.93,2024-10-01
Braga,"]30,1000]",785,137572.59,2024-10-01
Braga,"]4,20.7]",1996,22108.29,2024-10-01
Bragança,"]0,4]",1186,1690.29,2022-04-01
Bragança,"]20.7,30]",21,540.83,2022-04-01
Bragança,"]30,1000]",25,3049.66,2022-04-01
Bragança,"]4,20.7]",49,486.5,2022-04-01
Bragança,"]0,4]",1347,1961.73,2022-07-01
Bragança,"]20.7,30]",25,650.43,2022-07-01
Bragança,"]30,1000]",27,3190.01,2022-07-01
Bragança,"]4,20.7]",56,566.71,2022-07-01
Bragança,"]0,4]",1491,2253.46,2022-10-01
Bragança,"]20.7,30]",29,753.43,2022-10-01
Bragança,"]30,1000]",29,3379.1,2022-10-01
Bragança,"]4,20.7]",77,813.8,2022-10-01
Bragança,"]0,4]",1673,2617.62,2023-01-01
Bragança,"]20.7,30]",25,660.78,2023-01-01
Bragança,"]30,1000]",31,3459.3,2023-01-01
Bragança,"]4,20.7]",100,1093.08,2023-01-01
Bragança,"]0,4]",1952,3093.39,2023-04-01
Bragança,"]20.7,30]",35,945.74,2023-04-01
Bragança,"]30,1000]",31,3464.14,2023-04-01
Bragança,"]4,20.7]",131,1468.82,2023-04-01
Bragança,"]0,4]",2208,3665.48,2023-07-01
Bragança,"]20.7,30]",39,1066.16,2023-07-01
Bragança,"]30,1000]",34,3600.14,2023-07-01
Bragança,"]4,20.7]",171,1839.22,2023-07-01
Bragança,"]0,4]",2481,4352.47,2023-10-01
Bragança,"]20.7,30]",42,1151.16,2023-10-01
Bragança,"]30,1000]",39,4256.14,2023-10-01
Bragança,"]4,20.7]",209,2229.96,2023-10-01
Bragança,"]0,4]",2663,4696.93,2024-01-01
Bragança,"]20.7,30]",48,1316.16,2024-01-01
Bragança,"]30,1000]",42,4656.14,2024-01-01
Bragança,"]4,20.7]",238,2570.0099999999998,2024-01-01
Bragança,"]0,4]",2838,5079.25,2024-04-01
Bragança,"]20.7,30]",57,1560.68,2024-04-01
Bragança,"]30,1000]",46,6410.22,2024-04-01
Bragança,"]4,20.7]",287,3133.86,2024-04-01
Bragança,"]0,4]",3058,5544.55,2024-07-01
Bragança,"]20.7,30]",62,1695.68,2024-07-01
Bragança,"]30,1000]",54,7345.32,2024-07-01
Bragança,"]4,20.7]",330,3608.76,2024-07-01
Bragança,"]0,4]",3219,5899.95,2024-10-01
Bragança,"]20.7,30]",67,1835.68,2024-10-01
Bragança,"]30,1000]",63,8231.62,2024-10-01
Bragança,"]4,20.7]",352,3900.2599999999998,2024-10-01
Castelo Branco,"]0,4]",1993,2717.31,2022-04-01
Castelo Branco,"]20.7,30]",36,937.0,2022-04-01
Castelo Branco,"]30,1000]",48,10279.29,2022-04-01
Castelo Branco,"]4,20.7]",154,1444.63,2022-04-01
Castelo Branco,"]0,4]",2234,3117.6,2022-07-01
Castelo Branco,"]20.7,30]",39,1019.5600000000001,2022-07-01
Castelo Branco,"]30,1000]",51,10402.24,2022-07-01
Castelo Branco,"]4,20.7]",160,1501.17,2022-07-01
Castelo Branco,"]0,4]",2540,3692.69,2022-10-01
Castelo Branco,"]20.7,30]",42,1105.96,2022-10-01
Castelo Branco,"]30,1000]",64,12800.84,2022-10-01
Castelo Branco,"]4,20.7]",179,1666.29,2022-10-01
Castelo Branco,"]0,4]",2767,4236.13,2023-01-01
Castelo Branco,"]20.7,30]",43,1132.23,2023-01-01
Castelo Branco,"]30,1000]",63,12911.34,2023-01-01
Castelo Branco,"]4,20.7]",215,1979.28,2023-01-01
Castelo Branco,>1000,1,2991.42,2023-04-01
Castelo Branco,"]0,4]",3134,4901.73,2023-04-01
Castelo Branco,"]20.7,30]",47,1245.23,2023-04-01
Castelo Branco,"]30,1000]",75,14710.18,2023-04-01
Castelo Branco,"]4,20.7]",251,2307.67,2023-04-01
Castelo Branco,>1000,1,2991.42,2023-07-01
Castelo Branco,"]0,4]",3558,5806.54,2023-07-01
Castelo Branco,"]20.7,30]",56,1486.5,2023-07-01
Castelo Branco,"]30,1000]",90,19194.82,2023-07-01
Castelo Branco,"]4,20.7]",291,2656.65,2023-07-01
Castelo Branco,>1000,1,2991.42,2023-10-01
Castelo Branco,"]0,4]",3954,6688.4,2023-10-01
Castelo Branco,"]20.7,30]",62,1651.5,2023-10-01
Castelo Branco,"]30,1000]",104,21395.32,2023-10-01
Castelo Branco,"]4,20.7]",323,2971.92,2023-10-01
Castelo Branco,>1000,1,2991.42,2024-01-01
Castelo Branco,"]0,4]",4189,7152.0,2024-01-01
Castelo Branco,"]20.7,30]",74,2001.3999999999999,2024-01-01
Castelo Branco,"]30,1000]",115,22601.920000000002,2024-01-01
Castelo Branco,"]4,20.7]",368,3521.6,2024-01-01
Castelo Branco,>1000,1,2991.42,2024-04-01
Castelo Branco,"]0,4]",4438,7658.39,2024-04-01
Castelo Branco,"]20.7,30]",86,2339.0,2024-04-01
Castelo Branco,"]30,1000]",128,25206.12,2024-04-01
Castelo Branco,"]4,20.7]",413,4076.75,2024-04-01
Castelo Branco,>1000,1,2991.42,2024-07-01
Castelo Branco,"]0,4]",4689,8223.47,2024-07-01
Castelo Branco,"]20.7,30]",95,2589.0,2024-07-01
Castelo Branco,"]30,1000]",133,25675.54,2024-07-01
Castelo Branco,"]4,20.7]",454,4514.8,2024-07-01
Castelo Branco,>1000,1,2991.42,2024-10-01
Castelo Branco,"]0,4]",4917,8735.39,2024-10-01
Castelo Branco,"]20.7,30]",101,2771.53,2024-10-01
Castelo Branco,"]30,1000]",144,28075.29,2024-10-01
Castelo Branco,"]4,20.7]",506,5070.56,2024-10-01
Coimbra,>1000,1,5578.32,2022-04-01
Coimbra,"]0,4]",5034,6864.82,2022-04-01
Coimbra,"]20.7,30]",32,858.25,2022-04-01
Coimbra,"]30,1000]",103,16579.64,2022-04-01
Coimbra,"]4,20.7]",232,2289.19,2022-04-01
Coimbra,>1000,1,5578.32,2022-07-01
Coimbra,"]0,4]",5608,7799.59,2022-07-01
Coimbra,"]20.7,30]",41,1096.34,2022-07-01
Coimbra,"]30,1000]",118,21591.34,2022-07-01
Coimbra,"]4,20.7]",254,2488.08,2022-07-01
Coimbra,>1000,1,5578.32,2022-10-01
Coimbra,"]0,4]",6226,8862.39,2022-10-01
Coimbra,"]20.7,30]",47,1247.18,2022-10-01
Coimbra,"]30,1000]",133,25337.71,2022-10-01
Coimbra,"]4,20.7]",288,2842.58,2022-10-01
Coimbra,>1000,1,5578.32,2023-01-01
Coimbra,"]0,4]",6754,9978.76,2023-01-01
Coimbra,"]20.7,30]",55,1498.66,2023-01-01
Coimbra,"]30,1000]",138,26681.97,2023-01-01
Coimbra,"]4,20.7]",343,3414.09,2023-01-01
Coimbra,>1000,1,5578.32,2023-04-01
Coimbra,"]0,4]",7641,11515.63,2023-04-01
Coimbra,"]20.7,30]",74,2028.46,2023-04-01
Coimbra,"]30,1000]",151,29896.65,2023-04-01
Coimbra,"]4,20.7]",406,4079.34,2023-04-01
Coimbra,>1000,1,5578.32,2023-07-01
Coimbra,"]0,4]",8655,13645.06,2023-07-01
Coimbra,"]20.7,30]",83,2269.96,2023-07-01
Coimbra,"]30,1000]",185,34569.95,2023-07-01
Coimbra,"]4,20.7]",479,4835.03,2023-07-01
Coimbra,>1000,1,5578.32,2023-10-01
Coimbra,"]0,4]",9535,15738.35,2023-10-01
Coimbra,"]20.7,30]",92,2528.16,2023-10-01
Coimbra,"]30,1000]",206,39455.83,2023-10-01
Coimbra,"]4,20.7]",540,5464.01,2023-10-01
Coimbra,>1000,1,5578.32,2024-01-01
Coimbra,"]0,4]",9985,16644.24,2024-01-01
Coimbra,"]20.7,30]",107,2947.16,2024-01-01
Coimbra,"]30,1000]",216,41534.55,2024-01-01
