Date,District,Category,Energy,Sales
2011-02-01,Aveiro,Heavy Vehicle,Diesel,14
2011-02-01,Aveiro,Light Vehicle,Diesel,507
2011-02-01,Aveiro,Light Vehicle,Gasoline,256
2011-02-01,Aveiro,Moped,Gasoline,97
2011-02-01,Aveiro,Motorcycle,Gasoline,125
2011-02-01,Aveiro,Quadricycle,Diesel,7
2011-02-01,Aveiro,Quadricycle,Gasoline,10
2011-02-01,Aveiro,Tractor,Diesel,10
2011-02-01,Beja,Heavy Vehicle,Diesel,2
2011-02-01,Beja,Light Vehicle,Diesel,77
2011-02-01,Beja,Light Vehicle,Gasoline,53
2011-02-01,Beja,Light Vehicle,HEV/Gasoline,1
2011-02-01,Beja,Moped,Gasoline,4
2011-02-01,Beja,Motorcycle,Gasoline,8
2011-02-01,Beja,Quadricycle,Gasoline,2
2011-02-01,Beja,Tractor,Diesel,7
2011-02-01,Braga,Heavy Vehicle,Diesel,7
2011-02-01,Braga,Light Vehicle,Diesel,602
2011-02-01,Braga,Light Vehicle,Gasoline,233
2011-02-01,Braga,Light Vehicle,HEV/Gasoline,1
2011-02-01,Braga,Moped,Gasoline,59
2011-02-01,Braga,Motorcycle,Gasoline,34
2011-02-01,Braga,Quadricycle,Diesel,8
2011-02-01,Braga,Quadricycle,Gasoline,2
2011-02-01,Braga,Tractor,Diesel,20
2011-02-01,Bragança,Heavy Vehicle,Diesel,4
2011-02-01,Bragança,Light Vehicle,Diesel,85
2011-02-01,Bragança,Light Vehicle,Gasoline,28
2011-02-01,Bragança,Moped,Gasoline,5
2011-02-01,Bragança,Motorcycle,Gasoline,5
2011-02-01,Bragança,Tractor,Diesel,15
2011-02-01,Castelo Branco,Heavy Vehicle,Diesel,1
2011-02-01,Castelo Branco,Light Vehicle,Diesel,132
2011-02-01,Castelo Branco,Light Vehicle,Gasoline,56
2011-02-01,Castelo Branco,Light Vehicle,HEV/Gasoline,1
2011-02-01,Castelo Branco,Moped,Gasoline,9
2011-02-01,Castelo Branco,Motorcycle,Gasoline,6
2011-02-01,Castelo Branco,Quadricycle,Gasoline,3
2011-02-01,Castelo Branco,Tractor,Diesel,11
2011-02-01,Coimbra,Heavy Vehicle,Diesel,9
2011-02-01,Coimbra,Light Vehicle,Diesel,280
2011-02-01,Coimbra,Light Vehicle,Gasoline,136
2011-02-01,Coimbra,Moped,Gasoline,28
2011-02-01,Coimbra,Motorcycle,Gasoline,37
2011-02-01,Coimbra,Quadricycle,Diesel,3
2011-02-01,Coimbra,Quadricycle,Gasoline,9
2011-02-01,Coimbra,Tractor,Diesel,27
2011-02-01,Évora,Heavy Vehicle,Diesel,6
2011-02-01,Évora,Light Vehicle,Diesel,91
2011-02-01,Évora,Light Vehicle,Gasoline,47
2011-02-01,Évora,Moped,Gasoline,13
2011-02-01,Évora,Motorcycle,Gasoline,4
2011-02-01,Évora,Quadricycle,Gasoline,2
2011-02-01,Évora,Tractor,Diesel,3
2011-02-01,Faro,Heavy Vehicle,Diesel,4
2011-02-01,Faro,Light Vehicle,Diesel,293
2011-02-01,Faro,Light Vehicle,Gasoline,233
2011-02-01,Faro,Light Vehicle,HEV/Gasoline,3
2011-02-01,Faro,Moped,Gasoline,30
2011-02-01,Faro,Motorcycle,Gasoline,15
2011-02-01,Faro,Quadricycle,Diesel,1
2011-02-01,Faro,Quadricycle,Gasoline,4
2011-02-01,Faro,Tractor,Diesel,11
2011-02-01,Guarda,Heavy Vehicle,Diesel,3
2011-02-01,Guarda,Light Vehicle,Diesel,93
2011-02-01,Guarda,Light Vehicle,Gasoline,33
2011-02-01,Guarda,Light Vehicle,HEV/Gasoline,1
2011-02-01,Guarda,Moped,Gasoline,8
2011-02-01,Guarda,Motorcycle,Gasoline,2
2011-02-01,Guarda,Quadricycle,Gasoline,1
2011-02-01,Guarda,Tractor,Diesel,5
2011-02-01,Leiria,Heavy Vehicle,Diesel,17
2011-02-01,Leiria,Light Vehicle,Diesel,423
2011-02-01,Leiria,Light Vehicle,Gasoline,203
2011-02-01,Leiria,Light Vehicle,Gasoline/PHEV,1
2011-02-01,Leiria,Light Vehicle,HEV/Gasoline,1
2011-02-01,Leiria,Moped,Gasoline,28
2011-02-01,Leiria,Motorcycle,BEV,2
2011-02-01,Leiria,Motorcycle,Gasoline,34
2011-02-01,Leiria,Quadricycle,Diesel,4
2011-02-01,Leiria,Quadricycle,Gasoline,2
2011-02-01,Leiria,Tractor,Diesel,28
2011-02-01,Lisboa,Heavy Vehicle,Diesel,50
2011-02-01,Lisboa,Light Vehicle,Diesel,5730
2011-02-01,Lisboa,Light Vehicle,Gasoline,2121
2011-02-01,Lisboa,Light Vehicle,Gasoline/PHEV,1
2011-02-01,Lisboa,Light Vehicle,HEV/Gasoline,17
2011-02-01,Lisboa,Moped,BEV,8
2011-02-01,Lisboa,Moped,Diesel,6
2011-02-01,Lisboa,Moped,Gasoline,75
2011-02-01,Lisboa,Motorcycle,BEV,3
2011-02-01,Lisboa,Motorcycle,Gasoline,208
2011-02-01,Lisboa,Quadricycle,Diesel,41
2011-02-01,Lisboa,Quadricycle,Gasoline,13
2011-02-01,Lisboa,Tractor,Diesel,78
2011-02-01,Lisboa,Tricycle,Gasoline,1
2011-02-01,Portalegre,Heavy Vehicle,Diesel,1
2011-02-01,Portalegre,Light Vehicle,Diesel,54
2011-02-01,Portalegre,Light Vehicle,Gasoline,36
2011-02-01,Portalegre,Moped,Gasoline,3
2011-02-01,Portalegre,Motorcycle,Gasoline,7
2011-02-01,Portalegre,Quadricycle,Gasoline,1
2011-02-01,Portalegre,Tractor,Diesel,12
2011-02-01,Porto,Heavy Vehicle,Diesel,19
2011-02-01,Porto,Light Vehicle,Diesel,1323
2011-02-01,Porto,Light Vehicle,Gasoline,655
2011-02-01,Porto,Light Vehicle,HEV/Gasoline,4
2011-02-01,Porto,Moped,Gasoline,69
2011-02-01,Porto,Motorcycle,Gasoline,68
2011-02-01,Porto,Quadricycle,Diesel,3
2011-02-01,Porto,Quadricycle,Gasoline,3
2011-02-01,Porto,Tractor,Diesel,41
2011-02-01,Santarém,Heavy Vehicle,Diesel,11
2011-02-01,Santarém,Light Vehicle,Diesel,318
2011-02-01,Santarém,Light Vehicle,Gasoline,141
2011-02-01,Santarém,Light Vehicle,HEV/Gasoline,2
2011-02-01,Santarém,Moped,Gasoline,34
2011-02-01,Santarém,Motorcycle,Gasoline,24
2011-02-01,Santarém,Quadricycle,Diesel,1
2011-02-01,Santarém,Tractor,Diesel,23
2011-02-01,Setúbal,Heavy Vehicle,Diesel,18
2011-02-01,Setúbal,Light Vehicle,Diesel,436
2011-02-01,Setúbal,Light Vehicle,Gasoline,356
2011-02-01,Setúbal,Light Vehicle,HEV/Gasoline,2
2011-02-01,Setúbal,Moped,Diesel,1
2011-02-01,Setúbal,Moped,Gasoline,22
2011-02-01,Setúbal,Motorcycle,Gasoline,40
2011-02-01,Setúbal,Quadricycle,Diesel,1
2011-02-01,Setúbal,Quadricycle,Gasoline,4
2011-02-01,Setúbal,Tractor,Diesel,6
2011-02-01,Setúbal,Tricycle,Gasoline,1
2011-02-01,Viana do Castelo,Heavy Vehicle,Diesel,3
2011-02-01,Viana do Castelo,Light Vehicle,Diesel,145
2011-02-01,Viana do Castelo,Light Vehicle,Gasoline,86
2011-02-01,Viana do Castelo,Light Vehicle,Gasoline/PHEV,1
2011-02-01,Viana do Castelo,Light Vehicle,HEV/Gasoline,1
2011-02-01,Viana do Castelo,Moped,Gasoline,9
2011-02-01,Viana do Castelo,Motorcycle,Gasoline,13
2011-02-01,Viana do Castelo,Quadricycle,Diesel,1
2011-02-01,Viana do Castelo,Quadricycle,Gasoline,3
2011-02-01,Viana do Castelo,Tractor,Diesel,20
2011-02-01,Vila Real,Heavy Vehicle,Diesel,1
2011-02-01,Vila Real,Light Vehicle,Diesel,130
2011-02-01,Vila Real,Light Vehicle,Gasoline,58
2011-02-01,Vila Real,Moped,Gasoline,3
2011-02-01,Vila Real,Motorcycle,Gasoline,9
2011-02-01,Vila Real,Quadricycle,Diesel,1
2011-02-01,Vila Real,Quadricycle,Gasoline,2
2011-02-01,Vila Real,Tractor,Diesel,18
2011-02-01,Viseu,Heavy Vehicle,Diesel,8
2011-02-01,Viseu,Light Vehicle,Diesel,271
2011-02-01,Viseu,Light Vehicle,Gasoline,101
2011-02-01,Viseu,Light Vehicle,HEV/Gasoline,2
2011-02-01,Viseu,Moped,Gasoline,13
2011-02-01,Viseu,Motorcycle,Gasoline,15
2011-02-01,Viseu,Tractor,Diesel,24
2011-03-01,Aveiro,Heavy Vehicle,Diesel,47
2011-03-01,Aveiro,Light Vehicle,Diesel,2007
2011-03-01,Aveiro,Light Vehicle,Gasoline,922
2011-03-01,Aveiro,Light Vehicle,HEV/Gasoline,2
2011-03-01,Aveiro,Moped,Gasoline,301
2011-03-01,Aveiro,Motorcycle,Gasoline,348
2011-03-01,Aveiro,Quadricycle,BEV,1
2011-03-01,Aveiro,Quadricycle,Diesel,10
2011-03-01,Aveiro,Quadricycle,Gasoline,47
2011-03-01,Aveiro,Tractor,Diesel,82
2011-03-01,Beja,Heavy Vehicle,Diesel,7
2011-03-01,Beja,Light Vehicle,Diesel,328
2011-03-01,Beja,Light Vehicle,Gasoline,199
2011-03-01,Beja,Light Vehicle,Gasoline/PHEV,1
2011-03-01,Beja,Moped,Gasoline,35
2011-03-01,Beja,Motorcycle,Gasoline,27
2011-03-01,Beja,Quadricycle,Diesel,1
2011-03-01,Beja,Quadricycle,Gasoline,4
2011-03-01,Beja,Tractor,Diesel,23
2011-03-01,Braga,Heavy Vehicle,Diesel,24
2011-03-01,Braga,Light Vehicle,Diesel,2252
2011-03-01,Braga,Light Vehicle,Gasoline,1083
2011-03-01,Braga,Light Vehicle,HEV/Gasoline,7
2011-03-01,Braga,Moped,Gasoline,181
2011-03-01,Braga,Motorcycle,Gasoline,177
2011-03-01,Braga,Quadricycle,Diesel,10
2011-03-01,Braga,Quadricycle,Gasoline,17
2011-03-01,Braga,Tractor,Diesel,80
2011-03-01,Braga,Tricycle,Gasoline,2
2011-03-01,Bragança,Heavy Vehicle,Diesel,4
2011-03-01,Bragança,Light Vehicle,Diesel,356
2011-03-01,Bragança,Light Vehicle,Gasoline,126
2011-03-01,Bragança,Light Vehicle,HEV/Gasoline,2
2011-03-01,Bragança,Moped,Gasoline,27
2011-03-01,Bragança,Motorcycle,Gasoline,31
2011-03-01,Bragança,Quadricycle,Gasoline,2
2011-03-01,Bragança,Tractor,Diesel,50
2011-03-01,Castelo Branco,Heavy Vehicle,Diesel,8
2011-03-01,Castelo Branco,Light Vehicle,Diesel,459
2011-03-01,Castelo Branco,Light Vehicle,Gasoline,215
2011-03-01,Castelo Branco,Light Vehicle,HEV/Gasoline,1
2011-03-01,Castelo Branco,Moped,Gasoline,55
2011-03-01,Castelo Branco,Motorcycle,Gasoline,31
2011-03-01,Castelo Branco,Quadricycle,Diesel,3
2011-03-01,Castelo Branco,Quadricycle,Gasoline,6
2011-03-01,Castelo Branco,Tractor,Diesel,35
2011-03-01,Coimbra,Heavy Vehicle,Diesel,33
2011-03-01,Coimbra,Light Vehicle,Diesel,1088
2011-03-01,Coimbra,Light Vehicle,Gasoline,567
